
=== CAN Simulator — RANDOM MODE ===
Session  : encode-test
Speed    : 1.0x
Press Ctrl+C to stop

Session published: encode-test
  [1] Car_Status @ 1774961356.207s signals=['door_latche_status:6', 'selective_unlock_statuss:1']
  [274] Steering_Status @ 1774961357.547s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [275] Transmission_Status @ 1774961357.547s signals=['Gear_Position:0', 'Gear_Number:0']
  [276] Brake_Status @ 1774961357.547s signals=['Brake_Pressure:0', 'ABS_State:0']
  [277] Fuel_Status @ 1774961357.547s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [278] Wheel_Speed @ 1774961357.600s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [279] Suspension_Status @ 1774961357.600s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [280] Tyre_Pressure @ 1774961357.600s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [281] Body_Control @ 1774961357.600s signals=['Headlight_State:0', 'Wiper_State:0']
  [282] Engine_Status @ 1774961357.600s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [283] Vehicle_Speed @ 1774961357.600s signals=['Speed_High:0', 'Speed_Low:0']
  [284] Steering_Status @ 1774961357.600s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [285] Transmission_Status @ 1774961357.600s signals=['Gear_Position:0', 'Gear_Number:0']
  [286] Brake_Status @ 1774961357.600s signals=['Brake_Pressure:0', 'ABS_State:0']
  [287] Fuel_Status @ 1774961357.600s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [288] Wheel_Speed @ 1774961357.651s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [289] Suspension_Status @ 1774961357.651s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [290] Tyre_Pressure @ 1774961357.651s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [291] Body_Control @ 1774961357.651s signals=['Headlight_State:0', 'Wiper_State:0']
  [292] Engine_Status @ 1774961357.651s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [293] Vehicle_Speed @ 1774961357.651s signals=['Speed_High:0', 'Speed_Low:0']
  [294] Steering_Status @ 1774961357.651s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [295] Transmission_Status @ 1774961357.651s signals=['Gear_Position:0', 'Gear_Number:0']
  [296] Brake_Status @ 1774961357.651s signals=['Brake_Pressure:0', 'ABS_State:0']
  [297] Fuel_Status @ 1774961357.651s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [298] Wheel_Speed @ 1774961357.701s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [299] Suspension_Status @ 1774961357.701s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [300] Tyre_Pressure @ 1774961357.701s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [301] Body_Control @ 1774961357.701s signals=['Headlight_State:0', 'Wiper_State:0']
  [302] Engine_Status @ 1774961357.701s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [303] Vehicle_Speed @ 1774961357.701s signals=['Speed_High:0', 'Speed_Low:0']
  [304] Steering_Status @ 1774961357.701s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [305] Transmission_Status @ 1774961357.701s signals=['Gear_Position:0', 'Gear_Number:0']
  [306] Brake_Status @ 1774961357.701s signals=['Brake_Pressure:0', 'ABS_State:0']
  [307] Fuel_Status @ 1774961357.701s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [308] Wheel_Speed @ 1774961357.753s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [309] Suspension_Status @ 1774961357.753s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [310] Tyre_Pressure @ 1774961357.753s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [311] Body_Control @ 1774961357.753s signals=['Headlight_State:0', 'Wiper_State:0']
  [312] Engine_Status @ 1774961357.753s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [313] Vehicle_Speed @ 1774961357.753s signals=['Speed_High:0', 'Speed_Low:0']
  [314] Steering_Status @ 1774961357.753s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [315] Transmission_Status @ 1774961357.753s signals=['Gear_Position:0', 'Gear_Number:0']
  [316] Brake_Status @ 1774961357.753s signals=['Brake_Pressure:0', 'ABS_State:0']
  [317] Fuel_Status @ 1774961357.753s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [318] Wheel_Speed @ 1774961357.803s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [319] Suspension_Status @ 1774961357.803s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [320] Tyre_Pressure @ 1774961357.803s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [321] Body_Control @ 1774961357.803s signals=['Headlight_State:0', 'Wiper_State:0']
  [322] Engine_Status @ 1774961357.803s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [323] Vehicle_Speed @ 1774961357.803s signals=['Speed_High:0', 'Speed_Low:0']
  [324] Steering_Status @ 1774961357.803s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [325] Transmission_Status @ 1774961357.803s signals=['Gear_Position:0', 'Gear_Number:0']
  [326] Brake_Status @ 1774961357.803s signals=['Brake_Pressure:0', 'ABS_State:0']
  [327] Fuel_Status @ 1774961357.803s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [328] Wheel_Speed @ 1774961357.854s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [329] Suspension_Status @ 1774961357.854s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [330] Tyre_Pressure @ 1774961357.854s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [331] Body_Control @ 1774961357.854s signals=['Headlight_State:0', 'Wiper_State:0']
  [332] Engine_Status @ 1774961357.854s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [333] Vehicle_Speed @ 1774961357.854s signals=['Speed_High:0', 'Speed_Low:0']
  [334] Steering_Status @ 1774961357.854s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [335] Transmission_Status @ 1774961357.854s signals=['Gear_Position:0', 'Gear_Number:0']
  [336] Brake_Status @ 1774961357.854s signals=['Brake_Pressure:0', 'ABS_State:0']
  [337] Fuel_Status @ 1774961357.854s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [338] Wheel_Speed @ 1774961357.905s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [339] Suspension_Status @ 1774961357.905s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [340] Tyre_Pressure @ 1774961357.905s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [341] Body_Control @ 1774961357.905s signals=['Headlight_State:0', 'Wiper_State:0']
  [342] Engine_Status @ 1774961357.905s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [343] Vehicle_Speed @ 1774961357.905s signals=['Speed_High:0', 'Speed_Low:0']
  [344] Steering_Status @ 1774961357.905s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [345] Transmission_Status @ 1774961357.905s signals=['Gear_Position:0', 'Gear_Number:0']
  [346] Brake_Status @ 1774961357.905s signals=['Brake_Pressure:0', 'ABS_State:0']
  [347] Fuel_Status @ 1774961357.905s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [348] Wheel_Speed @ 1774961357.955s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [349] Suspension_Status @ 1774961357.955s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [350] Tyre_Pressure @ 1774961357.955s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [351] Body_Control @ 1774961357.955s signals=['Headlight_State:0', 'Wiper_State:0']
  [352] Engine_Status @ 1774961357.955s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [353] Vehicle_Speed @ 1774961357.955s signals=['Speed_High:0', 'Speed_Low:0']
  [354] Steering_Status @ 1774961357.955s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [355] Transmission_Status @ 1774961357.955s signals=['Gear_Position:0', 'Gear_Number:0']
  [356] Brake_Status @ 1774961357.955s signals=['Brake_Pressure:0', 'ABS_State:0']
  [357] Fuel_Status @ 1774961357.955s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [358] Wheel_Speed @ 1774961358.006s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [359] Suspension_Status @ 1774961358.006s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [360] Tyre_Pressure @ 1774961358.006s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [361] Body_Control @ 1774961358.006s signals=['Headlight_State:0', 'Wiper_State:0']
  [362] Engine_Status @ 1774961358.006s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [363] Vehicle_Speed @ 1774961358.006s signals=['Speed_High:0', 'Speed_Low:0']
  [364] Steering_Status @ 1774961358.006s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [365] Transmission_Status @ 1774961358.006s signals=['Gear_Position:0', 'Gear_Number:0']
  [366] Brake_Status @ 1774961358.006s signals=['Brake_Pressure:0', 'ABS_State:0']
  [367] Fuel_Status @ 1774961358.006s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [368] Wheel_Speed @ 1774961358.058s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [369] Suspension_Status @ 1774961358.058s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [370] Tyre_Pressure @ 1774961358.058s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [371] Body_Control @ 1774961358.058s signals=['Headlight_State:0', 'Wiper_State:0']
  [372] Engine_Status @ 1774961358.058s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [373] Vehicle_Speed @ 1774961358.058s signals=['Speed_High:0', 'Speed_Low:0']
  [374] Steering_Status @ 1774961358.058s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [375] Transmission_Status @ 1774961358.058s signals=['Gear_Position:0', 'Gear_Number:0']
  [376] Brake_Status @ 1774961358.058s signals=['Brake_Pressure:0', 'ABS_State:0']
  [377] Fuel_Status @ 1774961358.058s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [378] Wheel_Speed @ 1774961358.109s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [379] Suspension_Status @ 1774961358.109s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [380] Tyre_Pressure @ 1774961358.109s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [381] Body_Control @ 1774961358.109s signals=['Headlight_State:0', 'Wiper_State:0']
  [382] Engine_Status @ 1774961358.109s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [383] Vehicle_Speed @ 1774961358.109s signals=['Speed_High:0', 'Speed_Low:0']
  [384] Steering_Status @ 1774961358.109s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [385] Transmission_Status @ 1774961358.109s signals=['Gear_Position:0', 'Gear_Number:0']
  [386] Brake_Status @ 1774961358.109s signals=['Brake_Pressure:0', 'ABS_State:0']
  [387] Fuel_Status @ 1774961358.109s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [388] Wheel_Speed @ 1774961358.161s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [389] Suspension_Status @ 1774961358.161s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [390] Tyre_Pressure @ 1774961358.161s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [391] Body_Control @ 1774961358.161s signals=['Headlight_State:0', 'Wiper_State:0']
  [392] Engine_Status @ 1774961358.161s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [393] Vehicle_Speed @ 1774961358.161s signals=['Speed_High:0', 'Speed_Low:0']
  [394] Steering_Status @ 1774961358.161s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [395] Transmission_Status @ 1774961358.161s signals=['Gear_Position:0', 'Gear_Number:0']
  [396] Brake_Status @ 1774961358.161s signals=['Brake_Pressure:0', 'ABS_State:0']
  [397] Fuel_Status @ 1774961358.161s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [398] Car_Status @ 1774961358.213s signals=['door_latche_status:6', 'selective_unlock_statuss:1']
  [399] Key_Button_Status @ 1774961358.213s signals=['Unlock_Button_status:3', 'lock_Button_status:0']
  [400] Contact_Status @ 1774961358.213s signals=['Drd_Status_Cont:1', 'PSD_Status_Cont:1']
  [401] Latch_Action @ 1774961358.213s signals=['Drd_Secure_latch_action:0', 'Drdr_Secure_latch_action:0']
  [402] Door_selective_unlock @ 1774961358.213s signals=['selective_unlock_action:1', 'Roc_Switch:0']
  [403] Wheel_Speed @ 1774961358.213s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [404] Suspension_Status @ 1774961358.213s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [405] Tyre_Pressure @ 1774961358.213s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [406] Body_Control @ 1774961358.213s signals=['Headlight_State:0', 'Wiper_State:0']
  [407] Engine_Status @ 1774961358.213s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [408] Vehicle_Speed @ 1774961358.213s signals=['Speed_High:0', 'Speed_Low:0']
  [409] Steering_Status @ 1774961358.213s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [410] Transmission_Status @ 1774961358.213s signals=['Gear_Position:0', 'Gear_Number:0']
  [411] Brake_Status @ 1774961358.213s signals=['Brake_Pressure:0', 'ABS_State:0']
  [412] Fuel_Status @ 1774961358.213s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [413] Wheel_Speed @ 1774961358.265s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [414] Suspension_Status @ 1774961358.265s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [415] Tyre_Pressure @ 1774961358.265s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [416] Body_Control @ 1774961358.265s signals=['Headlight_State:0', 'Wiper_State:0']
  [417] key_comm @ 1774961358.265s signals=['KEY_Pos:1', 'KEY_Butt:1']
  [418] Engine_Status @ 1774961358.265s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [419] Vehicle_Speed @ 1774961358.265s signals=['Speed_High:0', 'Speed_Low:0']
  [420] Steering_Status @ 1774961358.265s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [421] Transmission_Status @ 1774961358.265s signals=['Gear_Position:0', 'Gear_Number:0']
  [422] Brake_Status @ 1774961358.265s signals=['Brake_Pressure:0', 'ABS_State:0']
  [423] Fuel_Status @ 1774961358.265s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [424] Wheel_Speed @ 1774961358.316s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [425] Suspension_Status @ 1774961358.316s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [426] Tyre_Pressure @ 1774961358.316s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [427] Body_Control @ 1774961358.316s signals=['Headlight_State:0', 'Wiper_State:0']
  [428] Engine_Status @ 1774961358.316s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [429] Vehicle_Speed @ 1774961358.316s signals=['Speed_High:0', 'Speed_Low:0']
  [430] Steering_Status @ 1774961358.316s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [431] Transmission_Status @ 1774961358.316s signals=['Gear_Position:0', 'Gear_Number:0']
  [432] Brake_Status @ 1774961358.316s signals=['Brake_Pressure:0', 'ABS_State:0']
  [433] Fuel_Status @ 1774961358.316s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [434] Wheel_Speed @ 1774961358.366s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [435] Suspension_Status @ 1774961358.366s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [436] Tyre_Pressure @ 1774961358.366s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [437] Body_Control @ 1774961358.366s signals=['Headlight_State:0', 'Wiper_State:0']
  [438] Engine_Status @ 1774961358.366s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [439] Vehicle_Speed @ 1774961358.366s signals=['Speed_High:0', 'Speed_Low:0']
  [440] Steering_Status @ 1774961358.366s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [441] Transmission_Status @ 1774961358.366s signals=['Gear_Position:0', 'Gear_Number:0']
  [442] Brake_Status @ 1774961358.366s signals=['Brake_Pressure:0', 'ABS_State:0']
  [443] Fuel_Status @ 1774961358.366s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [444] Wheel_Speed @ 1774961358.419s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [445] Suspension_Status @ 1774961358.419s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [446] Tyre_Pressure @ 1774961358.419s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [447] Body_Control @ 1774961358.419s signals=['Headlight_State:0', 'Wiper_State:0']
  [448] Engine_Status @ 1774961358.419s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [449] Vehicle_Speed @ 1774961358.419s signals=['Speed_High:0', 'Speed_Low:0']
  [450] Steering_Status @ 1774961358.419s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [451] Transmission_Status @ 1774961358.419s signals=['Gear_Position:0', 'Gear_Number:0']
  [452] Brake_Status @ 1774961358.419s signals=['Brake_Pressure:0', 'ABS_State:0']
  [453] Fuel_Status @ 1774961358.419s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [454] Wheel_Speed @ 1774961358.475s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [455] Suspension_Status @ 1774961358.475s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [456] Tyre_Pressure @ 1774961358.475s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [457] Body_Control @ 1774961358.475s signals=['Headlight_State:0', 'Wiper_State:0']
  [458] Engine_Status @ 1774961358.475s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [459] Vehicle_Speed @ 1774961358.475s signals=['Speed_High:0', 'Speed_Low:0']
  [460] Steering_Status @ 1774961358.475s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [461] Transmission_Status @ 1774961358.475s signals=['Gear_Position:0', 'Gear_Number:0']
  [462] Brake_Status @ 1774961358.475s signals=['Brake_Pressure:0', 'ABS_State:0']
  [463] Fuel_Status @ 1774961358.475s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [464] Wheel_Speed @ 1774961358.528s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [465] Suspension_Status @ 1774961358.528s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [466] Tyre_Pressure @ 1774961358.528s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [467] Body_Control @ 1774961358.528s signals=['Headlight_State:0', 'Wiper_State:0']
  [468] Engine_Status @ 1774961358.528s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [469] Vehicle_Speed @ 1774961358.528s signals=['Speed_High:0', 'Speed_Low:0']
  [470] Steering_Status @ 1774961358.528s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [471] Transmission_Status @ 1774961358.528s signals=['Gear_Position:0', 'Gear_Number:0']
  [472] Brake_Status @ 1774961358.528s signals=['Brake_Pressure:0', 'ABS_State:0']
  [473] Fuel_Status @ 1774961358.528s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [474] Wheel_Speed @ 1774961358.578s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [475] Suspension_Status @ 1774961358.578s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [476] Tyre_Pressure @ 1774961358.578s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [477] Body_Control @ 1774961358.578s signals=['Headlight_State:0', 'Wiper_State:0']
  [478] Engine_Status @ 1774961358.578s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [479] Vehicle_Speed @ 1774961358.578s signals=['Speed_High:0', 'Speed_Low:0']
  [480] Steering_Status @ 1774961358.578s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [481] Transmission_Status @ 1774961358.578s signals=['Gear_Position:0', 'Gear_Number:0']
  [482] Brake_Status @ 1774961358.578s signals=['Brake_Pressure:0', 'ABS_State:0']
  [483] Fuel_Status @ 1774961358.578s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [484] Wheel_Speed @ 1774961358.630s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [485] Suspension_Status @ 1774961358.630s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [486] Tyre_Pressure @ 1774961358.630s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [487] Body_Control @ 1774961358.630s signals=['Headlight_State:0', 'Wiper_State:0']
  [488] Engine_Status @ 1774961358.630s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [489] Vehicle_Speed @ 1774961358.630s signals=['Speed_High:0', 'Speed_Low:0']
  [490] Steering_Status @ 1774961358.630s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [491] Transmission_Status @ 1774961358.630s signals=['Gear_Position:0', 'Gear_Number:0']
  [492] Brake_Status @ 1774961358.630s signals=['Brake_Pressure:0', 'ABS_State:0']
  [493] Fuel_Status @ 1774961358.630s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [494] Wheel_Speed @ 1774961358.682s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [495] Suspension_Status @ 1774961358.682s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [496] Tyre_Pressure @ 1774961358.682s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [497] Body_Control @ 1774961358.682s signals=['Headlight_State:0', 'Wiper_State:0']
  [498] Engine_Status @ 1774961358.682s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [499] Vehicle_Speed @ 1774961358.682s signals=['Speed_High:0', 'Speed_Low:0']
  [500] Steering_Status @ 1774961358.682s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [501] Transmission_Status @ 1774961358.682s signals=['Gear_Position:0', 'Gear_Number:0']
  [502] Brake_Status @ 1774961358.682s signals=['Brake_Pressure:0', 'ABS_State:0']
  [503] Fuel_Status @ 1774961358.682s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [504] Wheel_Speed @ 1774961358.733s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [505] Suspension_Status @ 1774961358.733s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [506] Tyre_Pressure @ 1774961358.733s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [507] Body_Control @ 1774961358.733s signals=['Headlight_State:0', 'Wiper_State:0']
  [508] Engine_Status @ 1774961358.733s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [509] Vehicle_Speed @ 1774961358.733s signals=['Speed_High:0', 'Speed_Low:0']
  [510] Steering_Status @ 1774961358.733s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [511] Transmission_Status @ 1774961358.733s signals=['Gear_Position:0', 'Gear_Number:0']
  [512] Brake_Status @ 1774961358.733s signals=['Brake_Pressure:0', 'ABS_State:0']
  [513] Fuel_Status @ 1774961358.733s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [514] Wheel_Speed @ 1774961358.784s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [515] Suspension_Status @ 1774961358.784s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [516] Tyre_Pressure @ 1774961358.784s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [517] Body_Control @ 1774961358.784s signals=['Headlight_State:0', 'Wiper_State:0']
  [518] Engine_Status @ 1774961358.784s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [519] Vehicle_Speed @ 1774961358.784s signals=['Speed_High:0', 'Speed_Low:0']
  [520] Steering_Status @ 1774961358.784s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [521] Transmission_Status @ 1774961358.784s signals=['Gear_Position:0', 'Gear_Number:0']
  [522] Brake_Status @ 1774961358.784s signals=['Brake_Pressure:0', 'ABS_State:0']
  [523] Fuel_Status @ 1774961358.784s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [524] Wheel_Speed @ 1774961358.835s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [525] Suspension_Status @ 1774961358.835s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [526] Tyre_Pressure @ 1774961358.835s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [527] Body_Control @ 1774961358.835s signals=['Headlight_State:0', 'Wiper_State:0']
  [528] Engine_Status @ 1774961358.835s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [529] Vehicle_Speed @ 1774961358.835s signals=['Speed_High:0', 'Speed_Low:0']
  [530] Steering_Status @ 1774961358.835s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [531] Transmission_Status @ 1774961358.835s signals=['Gear_Position:0', 'Gear_Number:0']
  [532] Brake_Status @ 1774961358.835s signals=['Brake_Pressure:0', 'ABS_State:0']
  [533] Fuel_Status @ 1774961358.835s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [534] Wheel_Speed @ 1774961358.886s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [535] Suspension_Status @ 1774961358.886s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [536] Tyre_Pressure @ 1774961358.886s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [537] Body_Control @ 1774961358.886s signals=['Headlight_State:0', 'Wiper_State:0']
  [538] Engine_Status @ 1774961358.886s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [539] Vehicle_Speed @ 1774961358.886s signals=['Speed_High:0', 'Speed_Low:0']
  [540] Steering_Status @ 1774961358.886s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [541] Transmission_Status @ 1774961358.886s signals=['Gear_Position:0', 'Gear_Number:0']
  [542] Brake_Status @ 1774961358.886s signals=['Brake_Pressure:0', 'ABS_State:0']
  [543] Fuel_Status @ 1774961358.886s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [544] Wheel_Speed @ 1774961358.937s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [545] Suspension_Status @ 1774961358.937s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [546] Tyre_Pressure @ 1774961358.937s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [547] Body_Control @ 1774961358.937s signals=['Headlight_State:0', 'Wiper_State:0']
